,Acc,Prec_Class1,Prec_Class0,Recall,TNR,F1,MCC,TP,FP,FN,TN
Fold-1,,,,,,,,,,,
Fold-2,0.625,0,0.625,0.0,1.0,0.0,0.0,0,0,24,40
Fold-3,0.515625,0.515625,0,1.0,0,0.6804123711340206,0.0,33,31,0,0
Fold-4,0.625,0,0.625,0.0,1.0,0.0,0.0,0,0,24,40
Fold-5,0.59375,0.59375,0,1.0,0,0.7450980392156863,0.0,38,26,0,0
Fold-6,0.515625,0.515625,0,1.0,0,0.6804123711340206,0.0,33,31,0,0
Fold-7,0.38095238095238093,0.38095238095238093,0,1.0,0,0.5517241379310345,0.0,24,39,0,0
Fold-8,0.5555555555555556,0,0.5555555555555556,0.0,1.0,0.0,0.0,0,0,28,35
Fold-9,0.5555555555555556,0.5555555555555556,0,1.0,0,0.7142857142857143,0.0,35,28,0,0
Fold-10,0.5079365079365079,0.5079365079365079,0,1.0,0,0.6736842105263158,0.0,32,31,0,0
mean,,,,,,,,,,,
var,,,,,,,,,,,
